[2025-09-06 15:18:22,533: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 15:18:22,560: INFO: common: created directory at: artifacts]
[2025-09-06 15:18:22,565: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-06 15:18:23,782: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-09-06 15:18:23,786: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2025-09-06 15:18:23,797: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 15:18:23,803: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 15:18:23,825: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 15:18:23,833: INFO: common: created directory at: artifacts]
[2025-09-06 15:18:23,833: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 15:18:29,653: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<

x==========x]
[2025-09-06 15:18:29,656: INFO: main: >>>>>> stage Data Transformation stage started <<<<<<]
[2025-09-06 15:18:29,662: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 15:18:29,669: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 15:18:29,747: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 15:18:29,782: INFO: common: created directory at: artifacts]
[2025-09-06 15:18:29,811: INFO: common: created directory at: artifacts/data_transformation]
[2025-09-06 15:18:59,151: INFO: data_transformation: Splitted data into training, validation, and test sets]
[2025-09-06 15:18:59,161: INFO: data_transformation: (464809, 55)]
[2025-09-06 15:18:59,163: INFO: data_transformation: (58101, 55)]
[2025-09-06 15:18:59,164: INFO: data_transformation: (58102, 55)]
[2025-09-06 15:18:59,296: INFO: main: >>>>>> stage Data Transformation stage completed <<<<<<

x==========x]
[2025-09-06 15:23:46,509: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 15:23:46,617: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 15:23:46,659: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 15:23:46,662: INFO: common: created directory at: artifacts]
[2025-09-06 15:23:46,666: INFO: common: created directory at: artifacts/data_validation]
[2025-09-06 15:27:19,528: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-06 15:27:19,535: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 15:27:19,542: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 15:27:19,560: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-09-06 15:27:19,560: INFO: common: created directory at: artifacts]
[2025-09-06 15:27:19,560: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-06 15:27:20,339: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
